#NEO-ADAR-TIGEN 1.0
Gene_Name	Edit-site	Neoantigen
HIST2H2AB	chr1:g.149887659A>G	No3
HIST2H2AB	chr1:g.149887662A>G	No3
ADAMTSL4	chr1:g.150553844A>G	No3
MCL1	chr1:g.150579341A>G	No3
MCL1	chr1:g.150579353A>G	No3
MCL1	chr1:g.150579458A>G	No2
SEMA6C	chr1:g.151133233A>G	No3
SEMA6C	chr1:g.151133238A>G	No2
C2CD4D	chr1:g.151838739A>G	No3
IVL	chr1:g.152911225A>G	No2
DENND4B	chr1:g.153933663A>G	No2
DENND4B	chr1:g.153933688A>G	No2
ZBTB7B	chr1:g.155015317A>G	No3
TRIM46	chr1:g.155181887A>G	No3
THBS3	chr1:g.155207809A>G	No2
FDPS	chr1:g.155309905A>G	No2
RUSC1	chr1:g.155324452A>G	No2
ASH1L	chr1:g.155482258A>G	No2
LM0	chr1:g.156138500A>G	No2
MEF2D	chr1:g.156479314A>G	No2
NES	chr1:g.156670561A>G	No3
RR0D1	chr1:g.156734112A>G	No2
RR0D1	chr1:g.156734117A>G	No2
PEAR1	chr1:g.156910007A>G	No2
ACKR1	chr1:g.159206137A>G	No2
COPA	chr1:g.160332454A>G	No2
NCSTN	chr1:g.160350197A>G	No3
ARHGAP30	chr1:g.161047800A>G	No3
ARHGAP30	chr1:g.161048089A>G	No2
ARHGAP30	chr1:g.161048357A>G	SB
BRINP2	chr1:g.177230023A>G	No3
QSOX1	chr1:g.180190458A>G	No2
SMG7	chr1:g.183533298A>G	No3
SLC45A3	chr1:g.205659632A>G	No3
BPNT1	chr1:g.220058874A>G	No3
DISP1	chr1:g.222991546A>G	No2
GUK1	chr1:g.228148428A>G	No3
TTC13	chr1:g.230978637A>G	No2
TTC13	chr1:g.230978658A>G	No2
IRF2BP2	chr1:g.234608730A>G	No3
AHCTF1	chr1:g.246842707A>G	WB
AHCTF1	chr1:g.246842712A>G	No2
NLRP3	chr1:g.247424459A>G	No3
ZNF672	chr1:g.248847930A>G	No2
PITRM1	chr10:g.3151278A>G	No3
FBXO18	chr10:g.5915563A>G	No2
ZEB1	chr10:g.31527009A>G	No3
C10orf10	chr10:g.44977899A>G	No3
NCOA4	chr10:g.46010265A>G	No2
GPRIN2	chr10:g.46549445A>G	No3
GPRIN2	chr10:g.46549672A>G	No3
GPRIN2	chr10:g.46549812A>G	No3
ARHGAP22	chr10:g.48450457A>G	No3
WDFY4	chr10:g.48822408A>G	No3
ADO	chr10:g.62805423A>G	No2
TYSND1	chr10:g.70145555A>G	No2
UNC5B	chr10:g.71293924A>G	No3
SEC24C	chr10:g.73763570A>G	No3
ZNF503	chr10:g.75399244A>G	No3
DLG5	chr10:g.77819910A>G	No2
FRAT1	chr10:g.97320084A>G	No2
FRAT2	chr10:g.97334484A>G	No2
ZDHHC16	chr10:g.97455630A>G	No2
PI4K2A	chr10:g.97664918A>G	No3
MARVELD1	chr10:g.97714382A>G	No2
CNNM1	chr10:g.99330105A>G	No2
CWF19L1	chr10:g.100233315A>G	No2
SEMA4G	chr10:g.100983512A>G	No2
LZTS2	chr10:g.101003714A>G	No2
NFKB2	chr10:g.102400131A>G	No3
MFSD13A	chr10:g.102475824A>G	No2
TACC2	chr10:g.122210968A>G	No3
CTBP2	chr10:g.124993308A>G	No3
CTBP2	chr10:g.124993309A>G	No3
JAKMIP3	chr10:g.132141957A>G	No2
DEAF1	chr11:g.679698A>G	No2
EPS8L2	chr11:g.722104A>G	No2
PDDC1	chr11:g.774040A>G	No3
SLC22A18	chr11:g.2909284A>G	No2
HBE1	chr11:g.5269810A>G	No3
DCHS1	chr11:g.6625465A>G	No3
DCHS1	chr11:g.6632548A>G	No3
TRIM66	chr11:g.8624949A>G	No3
TRIM66	chr11:g.8640835A>G	No2
PTPN5	chr11:g.18729697A>G	No3
WT1	chr11:g.32435257A>G	No2
MAPK8IP1	chr11:g.45902592A>G	No3
DGKZ	chr11:g.46366291A>G	No2
DGKZ	chr11:g.46366298A>G	No2
DGKZ	chr11:g.46366351A>G	No2
DGKZ	chr11:g.46366420A>G	No2
DGKZ	chr11:g.46366923A>G	No2
DGKZ	chr11:g.46366948A>G	No2
LRP4	chr11:g.46873418A>G	No2
SPI1	chr11:g.47378330A>G	No2
CD6	chr11:g.61007595A>G	WB
LRRC10B	chr11:g.61509836A>G	No3
BEST1	chr11:g.61957430A>G	No2
BEST1	chr11:g.61957444A>G	No2
BEST1	chr11:g.61957449A>G	No2
TUT1	chr11:g.62578785A>G	No2
ROM1	chr11:g.62613338A>G	No2
